Time,bitbay,bitfinex,bitstamp,cex.io,coinbase,hitbtc,itbit,kraken,okcoin,others
2017-08-05 16:00:00 UTC,3214.5,3262.09434139469,3245.86325342466,3253.9263525862,3235.83691141643,3250.5390625,3253.60662650602,3246.97754599851,3383.32682352939,3195.1739853016825
2017-08-05 17:00:00 UTC,3205.0025,3298.13079797173,3298.48769724181,3295.41595035295,3297.67926096291,3295.91594202899,3297.7,3303.77790624999,3417.02549689441,3241.605895963175
2017-08-05 18:00:00 UTC,3231.091,3279.50926538716,3280.09666410453,3293.99577700205,3279.85126296521,3290.19909793814,3266.8837037037,3299.91779395603,3414.3841356674,3235.0130179791
2017-08-05 19:00:00 UTC,3163.02166666667,3269.02319688109,3265.03508301406,3285.57585875371,3266.61480922803,3276.32301724138,3282.42585858586,3272.04774618321,3422.99643356643,3221.1357859615846
2017-08-05 20:00:00 UTC,3170.01,3262.79718988359,3254.05082781456,3275.74900434783,3250.55141645883,3262.72317073171,3267.15466666667,3262.54006896551,3428.12917112299,3213.604831338265
2017-08-05 21:00:00 UTC,3230.26615384615,3214.09740740742,3208.28375246873,3220.46481057514,3196.01923525377,3209.55609022556,3213.51032258064,3216.66792040187,3404.535,3169.058514456383
2017-08-05 22:00:00 UTC,3151.68,3236.17726371448,3236.91860606061,3250.75367164179,3223.31746435215,3240.39403174603,3238.55352941176,3237.45838492873,3420.6718627451,3184.750694640165
2017-08-05 23:00:00 UTC,,3238.96388756551,3240.08907918969,3260.05478671329,3221.5435026738,3238.49176470589,3247.4801369863,3239.86306353317,3441.12123287671,3180.0350933667696
2017-08-06 00:00:00 UTC,3281.415,3274.35680751173,3274.67237451737,3283.56305882353,3252.48082655827,3274.36269230769,3269.29106382979,3275.06764481842,3454.3179661017,3192.461838939546
2017-08-06 01:00:00 UTC,3258.78444444444,3285.66160458452,3276.09391304348,3295.13966243655,3256.67046446165,3281.72247058824,3279.73961538461,3284.37777186311,3463.39706161137,3208.85263505737
2017-08-06 02:00:00 UTC,3225.86,3248.5278149726,3249.23961303462,3268.25602690583,3217.35419796729,3247.67577777778,3241.58571428571,3258.46813275194,3418.51696428572,3191.177345178125
2017-08-06 03:00:00 UTC,3216.6,3214.46710695875,3215.05636615812,3233.10101413043,3191.53583029673,3214.16195205479,3218.2375,3221.74659197651,3348.42714,3168.0615876429424
2017-08-06 04:00:00 UTC,3271.86,3230.26013824886,3229.95982993197,3252.44232990654,3201.88423034329,3230.66558823529,3233.93666666667,3233.17592743764,3366.505,3176.8305678648526
2017-08-06 05:00:00 UTC,3164.164,3203.89246268656,3207.05696721312,3229.84252231405,3187.60231458844,3203.6932,3218.44869565217,3213.17876690391,3345.73965034965,3161.0452391058748
